"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.541400000000000E+0008
"Stop", 9.741400000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02GHz into LNBF (dBm)"
1,964020000.000000000000,-100.233000000007,-100.721999999951,-89.425000000047,-86.964999999967
2,964022000.000000000000,-100.300000000047,-100.886000000057,-90.040000000037,-86.971000000020
3,964024000.000000000000,-100.106000000029,-100.807999999961,-89.268000000040,-87.101999999955
4,964026000.000000000000,-100.150999999954,-100.722999999998,-90.052000000025,-87.209999999963
5,964028000.000000000000,-100.204000000027,-100.809000000008,-89.292000000016,-87.236000000034
6,964030000.000000000000,-100.143999999971,-100.506999999983,-89.643999999971,-87.390000000014
7,964032000.000000000000,-100.199999999953,-100.518000000040,-89.579999999958,-87.361000000034
8,964034000.000000000000,-100.206000000006,-100.633999999962,-90.437000000034,-87.435999999987
9,964036000.000000000000,-100.241999999969,-100.655000000028,-89.266999999993,-87.412000000011
10,964038000.000000000000,-100.094999999972,-100.847999999998,-89.657000000007,-87.444000000018
11,964040000.000000000000,-99.951000000001,-100.827999999980,-89.204000000027,-87.185999999987
12,964042000.000000000000,-99.998999999953,-100.743999999948,-89.349000000046,-87.273000000045
13,964044000.000000000000,-100.060999999987,-100.704000000027,-89.283999999985,-87.222999999998
14,964046000.000000000000,-100.222999999998,-100.611999999965,-90.106000000029,-87.125000000000
15,964048000.000000000000,-100.261999999988,-100.603000000003,-89.130000000005,-87.201000000001
16,964050000.000000000000,-100.209999999963,-100.721999999951,-89.596000000020,-87.204999999958
17,964052000.000000000000,-100.060999999987,-100.800000000047,-89.614999999991,-87.271999999997
18,964054000.000000000000,-100.037000000011,-100.876999999979,-90.422999999952,-87.238999999943
19,964056000.000000000000,-100.037999999942,-100.724000000046,-89.408000000054,-87.185999999987
20,964058000.000000000000,-99.751000000047,-100.743000000017,-90.023999999976,-87.173999999999
21,964060000.000000000000,-99.856999999960,-100.780999999959,-89.214000000036,-87.285000000033
22,964062000.000000000000,-99.847999999998,-100.876999999979,-90.361000000034,-87.405999999959
23,964064000.000000000000,-100.114999999991,-100.951000000001,-89.457999999984,-87.408999999985
24,964066000.000000000000,-100.177999999956,-100.959000000032,-89.518000000040,-87.363999999943
25,964068000.000000000000,-100.212000000058,-100.873000000021,-89.452000000048,-87.430999999982
26,964070000.000000000000,-100.386999999988,-100.785999999964,-89.663999999990,-87.356999999960
27,964072000.000000000000,-100.486000000034,-100.863000000012,-89.503999999957,-87.297999999952
28,964074000.000000000000,-100.136999999988,-100.837999999989,-90.185999999987,-87.199999999953
29,964076000.000000000000,-100.180999999982,-100.844000000041,-89.500000000000,-87.518999999971
30,964078000.000000000000,-100.099000000046,-100.717999999993,-90.216999999946,-87.500000000000
31,964080000.000000000000,-100.121000000043,-100.734000000055,-89.268000000040,-87.459000000032
32,964082000.000000000000,-100.287000000011,-100.853000000003,-90.334000000032,-87.420999999973
33,964084000.000000000000,-100.285000000033,-100.832000000053,-89.298999999999,-87.398000000045
34,964086000.000000000000,-100.091000000015,-100.886000000057,-89.609999999986,-87.413999999990
35,964088000.000000000000,-99.962999999989,-100.939999999944,-89.540999999968,-87.092999999993
36,964090000.000000000000,-100.109000000055,-100.856999999960,-89.547999999952,-86.969999999972
37,964092000.000000000000,-100.111000000034,-100.866999999969,-89.829000000027,-87.192000000039
38,964094000.000000000000,-99.908999999985,-100.961000000010,-89.841999999946,-87.207000000053
39,964096000.000000000000,-99.913999999990,-100.712000000058,-89.451000000001,-87.197999999975
40,964098000.000000000000,-100.087000000058,-100.753000000026,-90.408999999985,-87.187999999966
41,964100000.000000000000,-100.216000000015,-100.805000000051,-89.320999999996,-87.233000000007
42,964102000.000000000000,-99.957999999984,-100.704999999958,-89.645000000019,-87.189999999944
43,964104000.000000000000,-99.954999999958,-100.680999999982,-89.402000000002,-87.207999999984
44,964106000.000000000000,-99.922000000020,-100.728000000003,-89.445999999996,-87.116999999969
45,964108000.000000000000,-99.689000000013,-100.697999999975,-89.641999999993,-87.270999999950
46,964110000.000000000000,-99.741999999969,-100.716000000015,-90.293999999994,-87.369999999995
47,964112000.000000000000,-99.984999999986,-100.699999999953,-89.209999999963,-87.430999999982
48,964114000.000000000000,-100.113000000012,-100.717999999993,-90.388000000035,-87.354999999981
49,964116000.000000000000,-100.346000000020,-100.951000000001,-89.339999999967,-87.234999999986
50,964118000.000000000000,-100.241000000038,-100.744999999995,-90.094999999972,-87.097999999998
51,964120000.000000000000,-100.221999999951,-100.714000000036,-89.292000000016,-87.231000000029
52,964122000.000000000000,-100.354000000050,-100.761999999988,-90.201000000001,-87.212000000058
53,964124000.000000000000,-100.410000000033,-100.804000000004,-89.346999999951,-87.005000000005
54,964126000.000000000000,-100.297000000020,-100.817000000039,-89.614999999991,-86.804000000004
55,964128000.000000000000,-100.236000000034,-100.883000000031,-89.589000000036,-86.875000000000
56,964130000.000000000000,-100.386999999988,-100.866999999969,-90.207000000053,-86.895999999950
57,964132000.000000000000,-100.111999999965,-100.755000000005,-89.128000000026,-87.143999999971
58,964134000.000000000000,-100.050999999978,-100.655999999959,-89.298999999999,-87.366999999969
59,964136000.000000000000,-100.167000000016,-100.625000000000,-89.395999999950,-87.390000000014
60,964138000.000000000000,-100.229999999981,-100.712999999989,-90.074000000022,-87.371000000043
61,964140000.000000000000,-100.153000000049,-100.783999999985,-89.305999999982,-87.601999999955
62,964142000.000000000000,-100.003000000026,-100.699999999953,-90.236000000034,-87.633000000031
63,964144000.000000000000,-100.003000000026,-100.363999999943,-89.275000000023,-87.471999999951
64,964146000.000000000000,-100.020999999950,-100.442000000039,-90.173999999999,-87.493000000017
65,964148000.000000000000,-99.949999999953,-100.104000000050,-89.383999999962,-87.498000000021
66,964150000.000000000000,-99.712000000058,-99.885000000009,-89.273999999976,-87.567000000039
67,964152000.000000000000,-99.707000000053,-99.719000000041,-89.334000000032,-87.481000000029
68,964154000.000000000000,-99.851999999955,-99.001000000047,-90.466000000015,-87.371999999974
69,964156000.000000000000,-99.763999999966,-98.744999999995,-89.513999999966,-87.334000000032
70,964158000.000000000000,-99.988999999943,-98.059000000008,-90.192000000039,-87.410000000033
71,964160000.000000000000,-99.942000000039,-97.665000000037,-89.422000000020,-87.429000000004
72,964162000.000000000000,-99.952000000048,-97.084000000032,-90.021999999997,-87.266999999993
73,964164000.000000000000,-100.023999999976,-96.614999999991,-89.111999999965,-87.386000000057
74,964166000.000000000000,-100.094999999972,-95.834000000032,-90.153999999980,-87.461000000010
75,964168000.000000000000,-99.942999999970,-95.527000000002,-89.011000000057,-87.444000000018
76,964170000.000000000000,-99.932000000030,-95.037999999942,-89.011999999988,-87.515000000014
77,964172000.000000000000,-100.091000000015,-94.361999999965,-89.261999999988,-87.599999999977
78,964174000.000000000000,-100.194999999949,-94.126999999979,-90.040999999968,-87.420999999973
79,964176000.000000000000,-100.047999999952,-93.782000000007,-89.089999999967,-87.234000000055
80,964178000.000000000000,-99.917000000016,-93.601999999955,-89.233000000007,-87.221999999951
81,964180000.000000000000,-100.207999999984,-93.194000000018,-89.287999999942,-87.119999999995
82,964182000.000000000000,-100.027000000002,-93.054000000004,-90.096000000020,-87.092999999993
83,964184000.000000000000,-100.030999999959,-92.962999999989,-88.753000000026,-86.947000000044
84,964186000.000000000000,-100.042999999947,-92.702000000048,-89.910999999964,-86.981999999960
85,964188000.000000000000,-100.052999999956,-92.548999999999,-88.621999999974,-87.119999999995
86,964190000.000000000000,-99.792000000016,-92.385000000009,-89.064000000013,-87.131999999983
87,964192000.000000000000,-100.023000000045,-92.207999999984,-89.168999999994,-87.187999999966
88,964194000.000000000000,-100.177000000025,-92.170000000042,-89.741999999969,-87.162000000011
