"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.640200000000000E+0008
"Stop", 9.680200000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02MHz into LNBF (dBm)"
1,964020000.000000000000,-100.233000000007,-100.721999999951,-89.498000000021,-86.597999999998
2,964022000.000000000000,-100.300000000047,-100.886000000057,-89.648000000045,-86.998000000021
3,964024000.000000000000,-100.106000000029,-100.807999999961,-89.822999999975,-87.047999999952
4,964026000.000000000000,-100.150999999954,-100.722999999998,-89.903000000049,-87.023000000045
5,964028000.000000000000,-100.204000000027,-100.809000000008,-90.207999999984,-86.893000000040
6,964030000.000000000000,-100.143999999971,-100.506999999983,-90.003000000026,-86.770000000019
7,964032000.000000000000,-100.199999999953,-100.518000000040,-90.032000000007,-86.805999999982
8,964034000.000000000000,-100.206000000006,-100.633999999962,-90.152000000002,-86.859000000055
9,964036000.000000000000,-100.241999999969,-100.655000000028,-90.079000000027,-86.913999999990
10,964038000.000000000000,-100.094999999972,-100.847999999998,-89.998999999953,-86.967999999993
11,964040000.000000000000,-99.951000000001,-100.827999999980,-90.030999999959,-86.984000000055
12,964042000.000000000000,-99.998999999953,-100.743999999948,-89.883000000031,-86.962999999989
13,964044000.000000000000,-100.060999999987,-100.704000000027,-90.018000000040,-86.984000000055
14,964046000.000000000000,-100.222999999998,-100.611999999965,-89.797999999952,-86.910999999964
15,964048000.000000000000,-100.261999999988,-100.603000000003,-89.770999999950,-87.226000000024
16,964050000.000000000000,-100.209999999963,-100.721999999951,-89.760000000009,-87.219000000041
17,964052000.000000000000,-100.060999999987,-100.800000000047,-89.836000000010,-87.086000000010
18,964054000.000000000000,-100.037000000011,-100.876999999979,-89.841000000015,-86.940999999992
19,964056000.000000000000,-100.037999999942,-100.724000000046,-90.023000000045,-86.959999999963
20,964058000.000000000000,-99.751000000047,-100.743000000017,-90.224999999977,-87.148999999976
21,964060000.000000000000,-99.856999999960,-100.780999999959,-90.383000000031,-87.246000000043
22,964062000.000000000000,-99.847999999998,-100.876999999979,-90.317999999970,-87.140000000014
23,964064000.000000000000,-100.114999999991,-100.951000000001,-90.160999999964,-87.015999999945
24,964066000.000000000000,-100.177999999956,-100.959000000032,-90.201000000001,-86.998999999953
25,964068000.000000000000,-100.212000000058,-100.873000000021,-90.341999999946,-87.189000000013
26,964070000.000000000000,-100.386999999988,-100.785999999964,-90.234000000055,-87.109000000055
27,964072000.000000000000,-100.486000000034,-100.863000000012,-90.126000000047,-87.067999999970
28,964074000.000000000000,-100.136999999988,-100.837999999989,-89.805999999982,-87.096999999951
29,964076000.000000000000,-100.180999999982,-100.844000000041,-89.817999999970,-87.126999999979
30,964078000.000000000000,-100.099000000046,-100.717999999993,-89.822000000044,-87.398000000045
31,964080000.000000000000,-100.121000000043,-100.734000000055,-89.692999999970,-87.366000000038
32,964082000.000000000000,-100.287000000011,-100.853000000003,-89.636000000057,-87.312999999966
33,964084000.000000000000,-100.285000000033,-100.832000000053,-89.511000000057,-87.312999999966
34,964086000.000000000000,-100.091000000015,-100.886000000057,-89.537000000011,-87.224999999977
35,964088000.000000000000,-99.962999999989,-100.939999999944,-89.717999999993,-87.155000000028
36,964090000.000000000000,-100.109000000055,-100.856999999960,-90.040999999968,-87.074000000022
