"BlockSat Plots"
"Start", 1.065520000000000E+0009
"Stop", 1.066520000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - west of Telstar 11N (dBm)","Telstar 11N (dBm)"
1,1065520000.000000000000,-82.685999999987,-82.042999999947
2,1065521666.666992187000,-83.158999999985,-82.006999999983
3,1065523333.333007812000,-82.724000000046,-82.060999999987
4,1065525000.000000000000,-82.832000000053,-82.167000000016
5,1065526666.666992188000,-82.934000000008,-82.233000000007
6,1065528333.333007813000,-82.773000000045,-82.498000000021
7,1065530000.000000000000,-82.721000000020,-82.094999999972
8,1065531666.666992188000,-82.822999999975,-82.180999999982
9,1065533333.333007812000,-82.562000000034,-82.094000000041
10,1065535000.000000000000,-83.275999999954,-82.391999999993
11,1065536666.666992188000,-82.599999999977,-82.128000000026
12,1065538333.333007812000,-82.984000000055,-82.138000000035
13,1065540000.000000000000,-83.229999999981,-82.111999999965
14,1065541666.666992188000,-83.790999999968,-81.974000000046
15,1065543333.333007813000,-82.952000000048,-81.996000000043
16,1065545000.000000000000,-83.351999999955,-82.027000000002
17,1065546666.666992188000,-83.268000000040,-81.876999999979
18,1065548333.333007812000,-83.594999999972,-82.082000000053
19,1065550000.000000000000,-82.836000000010,-81.579000000027
20,1065551666.666992188000,-83.042999999947,-82.533999999985
21,1065553333.333007812000,-82.918999999994,-81.871000000043
22,1065555000.000000000000,-82.942999999970,-82.310999999987
23,1065556666.666992188000,-82.623000000021,-82.425999999978
24,1065558333.333007812000,-82.670000000042,-82.501000000047
25,1065560000.000000000000,-82.562000000034,-82.079000000027
26,1065561666.666992188000,-83.050000000047,-82.064000000013
27,1065563333.333007812000,-82.466999999946,-82.097999999998
28,1065565000.000000000000,-82.569999999949,-82.126999999979
29,1065566666.666992188000,-82.577999999980,-81.832000000053
30,1065568333.333007812000,-82.935000000056,-82.246000000043
31,1065570000.000000000000,-82.243999999948,-81.724999999977
32,1065571666.666992188000,-82.175000000047,-81.991999999969
33,1065573333.333007812000,-81.834000000032,-81.798999999999
34,1065575000.000000000000,-81.672999999952,-81.626999999979
35,1065576666.666992188000,-81.464000000036,-81.922000000020
36,1065578333.333007812000,-81.030000000028,-82.172999999952
37,1065580000.000000000000,-80.623000000021,-82.032000000007
38,1065581666.666992188000,-80.687000000034,-82.217999999993
39,1065583333.333007812000,-80.657000000007,-81.873000000021
40,1065585000.000000000000,-81.077000000048,-82.042999999947
41,1065586666.666992188000,-79.820999999996,-81.964000000036
42,1065588333.333007812000,-79.231999999960,-82.069999999949
43,1065590000.000000000000,-79.231000000029,-82.119999999995
44,1065591666.666992187000,-79.581000000006,-82.643999999971
45,1065593333.333007812000,-78.910999999964,-82.130000000005
46,1065595000.000000000000,-78.733000000007,-82.739999999991
47,1065596666.666992188000,-78.204999999958,-82.052000000025
48,1065598333.333007812000,-78.077999999980,-82.226000000024
49,1065600000.000000000000,-77.744999999995,-81.702000000048
50,1065601666.666992188000,-77.846000000020,-82.326000000001
51,1065603333.333007812000,-77.310999999987,-82.324999999953
52,1065605000.000000000000,-77.167000000016,-82.194999999949
53,1065606666.666992187000,-76.883999999962,-81.890999999945
54,1065608333.333007812000,-76.677999999956,-82.108000000007
