"SoftPlot +Plus+ Measurement Management Software"
"Start", 1.062020000000000E+0009
"Stop", 1.070020000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - east of Telstar 11N (dBm)","Telstar 11N (dBm)"
1,1062020000.000000000000,-73.261000000057,-61.928000000014
2,1062033333.333007812000,-73.432000000030,-61.956999999995
3,1062046666.666992188000,-73.442000000039,-61.853999999992
4,1062060000.000000000000,-73.388000000035,-61.908999999985
5,1062073333.333007813000,-73.363999999943,-61.931999999972
6,1062086666.666992188000,-73.337999999989,-61.912000000011
7,1062100000.000000000000,-73.383000000031,-61.985999999975
8,1062113333.333007812000,-73.376999999979,-61.935999999987
9,1062126666.666992188000,-73.385000000009,-62.054999999993
10,1062140000.000000000000,-73.410999999964,-62.087999999989
11,1062153333.333007812000,-73.484000000055,-62.066999999981
12,1062166666.666992187000,-73.437999999966,-61.985999999975
13,1062180000.000000000000,-73.466000000015,-62.041000000027
14,1062193333.333007812000,-73.356000000029,-62.042000000016
15,1062206666.666992188000,-73.329999999958,-62.128000000026
16,1062220000.000000000000,-73.207000000053,-62.033999999985
17,1062233333.333007812000,-73.212000000058,-62.030000000028
18,1062246666.666992188000,-73.464000000036,-62.049999999988
19,1062260000.000000000000,-73.412000000011,-62.064000000013
20,1062273333.333007812000,-73.363999999943,-62.009000000020
21,1062286666.666992188000,-73.334000000032,-61.967999999993
22,1062300000.000000000000,-73.410999999964,-62.086000000010
23,1062313333.333007812000,-73.537999999942,-62.228000000003
24,1062326666.666992188000,-73.423999999999,-62.267999999982
25,1062340000.000000000000,-73.422000000020,-62.284999999974
26,1062353333.333007812000,-73.391999999993,-62.356000000029
27,1062366666.666992187000,-73.385000000009,-62.343999999983
28,1062380000.000000000000,-73.363000000012,-62.206000000006
29,1062393333.333007812000,-73.334999999963,-62.201999999990
30,1062406666.666992188000,-73.400999999954,-62.166000000027
31,1062420000.000000000000,-73.403999999980,-62.151000000013
32,1062433333.333007812000,-73.375000000000,-62.114999999991
33,1062446666.666992188000,-73.398999999976,-62.166000000027
34,1062460000.000000000000,-73.388000000035,-62.162000000011
35,1062473333.333007812000,-73.231999999960,-62.179999999993
36,1062486666.666992188000,-72.996999999974,-62.162000000011
37,1062500000.000000000000,-72.721000000020,-62.238000000012
38,1062513333.333007812000,-72.119999999995,-62.251999999979
39,1062526666.666992188000,-71.552999999956,-62.374000000011
40,1062540000.000000000000,-70.908999999985,-62.591000000015
41,1062553333.333007812000,-70.052000000025,-62.588999999978
42,1062566666.666992188000,-69.136999999988,-62.832999999984
43,1062580000.000000000000,-68.344999999972,-63.048000000010
44,1062593333.333007812000,-67.621999999974,-63.349999999977
45,1062606666.666992188000,-67.052999999956,-63.689000000013
46,1062620000.000000000000,-66.702999999980,-63.956000000006
47,1062633333.333007813000,-66.283999999985,-64.334000000032
48,1062646666.666992188000,-65.986999999965,-64.712000000058
49,1062660000.000000000000,-65.631000000052,-65.054000000004
50,1062673333.333007812000,-65.494999999995,-65.692999999970
51,1062686666.666992188000,-65.204000000027,-66.405999999959
52,1062700000.000000000000,-64.986999999965,-66.947000000044
53,1062713333.333007812000,-64.927000000025,-67.826000000001
54,1062726666.666992188000,-65.010000000009,-68.462000000058
55,1062740000.000000000000,-64.974999999977,-69.287000000011
56,1062753333.333007812000,-64.915000000037,-70.086000000010
57,1062766666.666992188000,-64.910000000033,-70.898000000045
58,1062780000.000000000000,-64.896999999997,-71.390999999945
59,1062793333.333007812000,-65.015000000014,-72.040999999968
60,1062806666.666992188000,-64.893000000040,-72.388999999966
61,1062820000.000000000000,-64.890000000014,-72.543999999994
62,1062833333.333007813000,-64.903000000049,-72.449999999953
63,1062846666.666992188000,-64.925000000047,-72.300999999978
64,1062860000.000000000000,-64.908000000054,-71.913999999990
65,1062873333.333007812000,-65.008000000031,-71.363000000012
66,1062886666.666992188000,-64.964000000036,-71.368000000017
67,1062900000.000000000000,-64.869999999995,-70.307000000030
68,1062913333.333007812000,-64.868000000017,-69.523999999976
69,1062926666.666992187000,-64.876999999979,-68.692999999970
70,1062940000.000000000000,-64.991000000038,-67.898000000045
71,1062953333.333007812000,-64.957000000053,-67.244999999995
72,1062966666.666992188000,-64.978000000003,-66.675999999978
73,1062980000.000000000000,-64.956000000006,-65.961000000010
