"BlockSat v2 European Region"
"Start", 1.080300000000000E+0009
"Stop", 1.088300000000000E+0009
"Points",601
"Point","X-Axis (Hz)","West of Telstar 11N (wrong sat) (dBm)","Telstar 11N (dBm)"
1,1080300000.000000000000,-81.888000000035,-75.054000000004
2,1080313333.333984380000,-82.876999999979,-77.123000000021
3,1080326666.666015630000,-82.000000000000,-75.584999999963
4,1080340000.000000000000,-82.738000000012,-76.662000000011
5,1080353333.333984380000,-81.662999999942,-75.586000000010
6,1080366666.666015630000,-82.871000000043,-76.665000000037
7,1080380000.000000000000,-81.932999999961,-75.528999999980
8,1080393333.333984380000,-82.778999999980,-76.491000000038
9,1080406666.666015630000,-81.947999999975,-75.537999999942
10,1080420000.000000000000,-82.667000000016,-76.491999999969
11,1080433333.333984380000,-81.903999999980,-75.511000000057
12,1080446666.666015620000,-82.775000000023,-76.650999999954
13,1080460000.000000000000,-81.912000000011,-75.378999999957
14,1080473333.333984380000,-82.839999999967,-76.444000000018
15,1080486666.666015620000,-81.722999999998,-75.586000000010
16,1080500000.000000000000,-82.819000000018,-76.726999999955
17,1080513333.333984370000,-81.702000000048,-75.633999999962
18,1080526666.666015620000,-82.807000000030,-76.574000000022
19,1080540000.000000000000,-81.616000000038,-75.646999999997
20,1080553333.333984370000,-83.057999999961,-76.770999999950
21,1080566666.666015620000,-82.141999999993,-75.383000000031
22,1080580000.000000000000,-82.810999999987,-76.677999999956
23,1080593333.333984370000,-81.618999999948,-75.533999999985
24,1080606666.666015620000,-82.935999999987,-76.555000000051
25,1080620000.000000000000,-81.770000000019,-75.701000000001
26,1080633333.333984370000,-83.101000000024,-76.707999999984
27,1080646666.666015620000,-82.050000000047,-75.434000000008
28,1080660000.000000000000,-82.582000000053,-76.714000000036
29,1080673333.333984380000,-81.717999999993,-75.520999999950
30,1080686666.666015620000,-82.839000000036,-76.591000000015
31,1080700000.000000000000,-81.922000000020,-75.285999999964
32,1080713333.333984380000,-82.971000000020,-76.765999999945
33,1080726666.666015620000,-81.763999999966,-75.733000000007
34,1080740000.000000000000,-82.653999999980,-76.331000000006
35,1080753333.333984380000,-81.687999999966,-75.420999999973
36,1080766666.666015620000,-82.645000000019,-76.493999999948
37,1080780000.000000000000,-81.978000000003,-75.528000000049
38,1080793333.333984380000,-82.597999999998,-76.778999999980
39,1080806666.666015620000,-81.814000000013,-75.734999999986
40,1080820000.000000000000,-82.790999999968,-76.952000000048
41,1080833333.333984380000,-81.645999999950,-75.337999999989
42,1080846666.666015620000,-82.738000000012,-76.690999999992
43,1080860000.000000000000,-81.780000000028,-75.636000000057
44,1080873333.333984380000,-82.822000000044,-76.636000000057
45,1080886666.666015620000,-81.792999999947,-75.559000000008
46,1080900000.000000000000,-82.831000000006,-76.402000000002
47,1080913333.333984380000,-81.760000000009,-75.184000000008
48,1080926666.666015620000,-82.898000000045,-76.635000000009
49,1080940000.000000000000,-81.888999999966,-75.701000000001
50,1080953333.333984380000,-82.597999999998,-76.170000000042
51,1080966666.666015620000,-81.722999999998,-75.506999999983
52,1080980000.000000000000,-82.314999999944,-77.003000000026
53,1080993333.333984380000,-81.493999999948,-75.545000000042
54,1081006666.666015620000,-82.552000000025,-76.613999999943
55,1081020000.000000000000,-81.618999999948,-75.452000000048
56,1081033333.333984380000,-82.751999999979,-76.572999999975
57,1081046666.666015620000,-81.572999999975,-75.564000000013
58,1081060000.000000000000,-82.427000000025,-76.878999999957
59,1081073333.333984380000,-81.489999999991,-75.515999999945
60,1081086666.666015620000,-82.871999999974,-76.596999999951
61,1081100000.000000000000,-81.706000000006,-75.158999999985
62,1081113333.333984380000,-82.591000000015,-76.445999999996
63,1081126666.666015620000,-81.633000000031,-75.285000000033
64,1081140000.000000000000,-82.591000000015,-76.552999999956
65,1081153333.333984380000,-81.731999999960,-75.179000000004
66,1081166666.666015620000,-82.576000000001,-76.420999999973
67,1081180000.000000000000,-81.486999999965,-75.702999999980
68,1081193333.333984380000,-82.731999999960,-76.344000000041
69,1081206666.666015620000,-81.697999999975,-75.236000000034
70,1081220000.000000000000,-82.543999999994,-76.780999999959
71,1081233333.333984380000,-81.702999999980,-75.359000000055
72,1081246666.666015620000,-82.881999999983,-76.089999999967
73,1081260000.000000000000,-81.929000000004,-75.312999999966
74,1081273333.333984380000,-82.770999999950,-76.361999999965
75,1081286666.666015620000,-81.498000000021,-75.466999999946
76,1081300000.000000000000,-82.753999999957,-77.067999999970
77,1081313333.333984380000,-81.846000000020,-75.361000000034
78,1081326666.666015620000,-82.604000000050,-76.547000000020
79,1081340000.000000000000,-81.638999999966,-75.418999999994
80,1081353333.333984380000,-82.675999999978,-76.697999999975
81,1081366666.666015620000,-81.763000000035,-75.591999999946
82,1081380000.000000000000,-82.672999999952,-76.673999999999
83,1081393333.333984380000,-81.564999999944,-75.501000000047
84,1081406666.666015620000,-82.356000000029,-76.403000000049
85,1081420000.000000000000,-81.587999999989,-75.488000000012
86,1081433333.333984380000,-82.280000000028,-76.074000000022
87,1081446666.666015620000,-81.653000000049,-75.143999999971
88,1081460000.000000000000,-82.576000000001,-76.158000000054
89,1081473333.333984380000,-81.488000000012,-75.118000000017
90,1081486666.666015630000,-82.528000000049,-76.361000000034
91,1081500000.000000000000,-81.633000000031,-75.366000000038
92,1081513333.333984380000,-82.883999999962,-76.283000000054
93,1081526666.666015630000,-81.680999999982,-75.287000000011
94,1081540000.000000000000,-82.331000000006,-76.560000000056
95,1081553333.333984380000,-81.584000000032,-75.444000000018
96,1081566666.666015630000,-82.459000000032,-76.820999999996
97,1081580000.000000000000,-81.538999999990,-75.694000000018
98,1081593333.333984380000,-82.628999999957,-76.576000000001
99,1081606666.666015630000,-81.645000000019,-75.277000000002
100,1081620000.000000000000,-82.320999999996,-76.537000000011
101,1081633333.333984380000,-81.371999999974,-75.515000000014
102,1081646666.666015630000,-82.550999999978,-76.771999999997
103,1081660000.000000000000,-81.613000000012,-75.739999999991
104,1081673333.333984380000,-82.741999999969,-76.459999999963
105,1081686666.666015620000,-81.523999999976,-75.393999999971
106,1081700000.000000000000,-82.655000000028,-76.410000000033
107,1081713333.333984370000,-81.309000000008,-75.346000000020
108,1081726666.666015620000,-82.574000000022,-76.410999999964
109,1081740000.000000000000,-81.273999999976,-75.346000000020
110,1081753333.333984370000,-82.472999999998,-76.410999999964
111,1081766666.666015620000,-81.476000000024,-75.265999999945
112,1081780000.000000000000,-82.278000000049,-76.530999999959
113,1081793333.333984370000,-81.285000000033,-75.417999999947
114,1081806666.666015620000,-82.314000000013,-76.219999999972
115,1081820000.000000000000,-81.410000000033,-75.258999999962
116,1081833333.333984370000,-82.476999999955,-76.527000000002
117,1081846666.666015620000,-81.567999999970,-75.298999999999
118,1081860000.000000000000,-82.182000000030,-76.437999999966
119,1081873333.333984370000,-81.532000000007,-75.513999999966
120,1081886666.666015620000,-82.469000000041,-76.559000000008
121,1081900000.000000000000,-81.238000000012,-75.439000000013
122,1081913333.333984380000,-81.819000000018,-76.770000000019
123,1081926666.666015620000,-80.964000000036,-75.457000000053
124,1081940000.000000000000,-81.646999999997,-76.459000000032
125,1081953333.333984380000,-80.195999999996,-75.449000000022
126,1081966666.666015620000,-81.114999999991,-76.609999999986
127,1081980000.000000000000,-79.893000000040,-75.439000000013
128,1081993333.333984380000,-81.006000000052,-76.320999999996
129,1082006666.666015620000,-79.635000000009,-75.439000000013
130,1082020000.000000000000,-80.548999999999,-76.527000000002
131,1082033333.333984380000,-79.761999999988,-75.687000000034
132,1082046666.666015620000,-81.052999999956,-76.567999999970
133,1082060000.000000000000,-79.797999999952,-75.682000000030
134,1082073333.333984380000,-80.741999999969,-76.511999999988
135,1082086666.666015620000,-79.471999999951,-75.532000000007
136,1082100000.000000000000,-80.996000000043,-76.804000000004
137,1082113333.333984380000,-79.873000000021,-75.484999999986
138,1082126666.666015620000,-80.962999999989,-76.621000000043
139,1082140000.000000000000,-79.756999999983,-75.354999999981
140,1082153333.333984380000,-80.712000000058,-76.777000000002
141,1082166666.666015620000,-79.888999999966,-75.908999999985
142,1082180000.000000000000,-80.775999999954,-76.380000000005
143,1082193333.333984380000,-79.793999999994,-75.543999999994
144,1082206666.666015620000,-80.631999999983,-76.503999999957
145,1082220000.000000000000,-79.675000000047,-75.565999999992
146,1082233333.333984380000,-80.881999999983,-76.890999999945
147,1082246666.666015620000,-79.648000000045,-75.584999999963
148,1082260000.000000000000,-80.716000000015,-76.295000000042
149,1082273333.333984380000,-79.689999999944,-75.716000000015
150,1082286666.666015620000,-80.910000000033,-76.942999999970
151,1082300000.000000000000,-79.520999999950,-75.587999999989
